id,name,views,points,source_glb_mb,psnr_db,ssim,coverage
nefertiti,Nefertiti Bust,36,3093510,47.204246520996094,16.700498642107554,0.2829582865039508,0.9996745278604053
fangyi,Bronze Fang Yi,12,470992,7.1877899169921875,14.119365656573736,0.1976438108831644,0.9955768030746214
cosmic-buddha,Cosmic Buddha,12,491779,7.504974365234375,18.528262758726473,0.3422917276620865,0.997564011655461
apollo-11-command-module,Apollo 11 Command Module,36,2374024,36.22575759887695,17.904392352111962,0.3827495305902428,0.9973069066364472
hoa-hakananai-a,Hoa Hakananai'a,36,1609897,24.56610870361328,17.296950531078593,0.37836316269305015,0.9980848527632697
incense-burner,Tripod Incense Burner,36,1574455,24.02530288696289,17.46559007165633,0.30772941932082176,0.9983817048869366
